@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

iris,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.000889,0.002981,0.2,0.632456,23.774438,0.028999,23.745438,1.584963,0.001933,1.583029,23.745438,1.583029,1498.170358,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.045,0.002,0.015625,0,15.625,0,104513,10633,2353,100,33.333333,?,-1
iris,3,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.008,0.021705,1.8,4.604346,23.774438,0.267707,23.50673,1.584963,0.017847,1.567115,23.50673,1.567115,1483.109565,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.03,0.002,0.03125,0,31.25,0,102555,10633,2353,100,37.777778,?,-1
iris,3,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.061778,0.206828,13.9,43.874822,23.774438,3.840477,19.93396,1.584963,0.256032,1.328931,20.818128,1.387875,1313.477648,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,0.986667,0.977778,0.93266,0.933333,0.028,0.002,0.03125,0,31.25,0,90598,10633,2353,100,37.777778,?,-1
iris,3,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.04,0.173205,9,36.742346,23.774438,2.591268,21.18317,1.584963,0.172751,1.412211,21.77348,1.451565,1373.753643,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.026,0.001,0.015625,0,15.625,0,96373,10633,2353,100,35.555556,?,-1
iris,3,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.013333,0.042058,3,8.921883,23.774438,0.464763,23.309674,1.584963,0.030984,1.553978,23.309674,1.553978,1470.676707,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.025,0.001,0.015625,0,15.625,0,103721,10633,2353,100,37.777778,?,-1
iris,3,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.084,0.276397,18.9,58.632755,23.774438,8.646166,15.128271,1.584963,0.576411,1.008551,19.605753,1.30705,1236.985282,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.986667,0.977778,0.861111,0.866667,0.013,0.001,0.015625,0,15.625,0,88046,10633,2353,93.333333,35.555556,?,-1
iris,3,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.002222,0.005578,0.5,1.183216,23.774438,0.072645,23.701792,1.584963,0.004843,1.580119,23.701792,1.580119,1495.416607,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.012,0,0.015625,0,15.625,0,105866,10633,2353,100,33.333333,?,-1
iris,3,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.076889,0.239026,17.3,50.705029,23.774438,7.087699,16.686739,1.584963,0.472513,1.112449,20.189817,1.345988,1273.835595,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.986667,0.977778,0.866667,0.866667,0.013,0,0,0,0,0,82480,10633,2353,93.333333,37.777778,?,-1
iris,3,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.055111,0.181965,12.4,38.600518,23.774438,2.815599,20.958839,1.584963,0.187707,1.397256,21.068898,1.404593,1329.299465,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.019,0.001,0.015625,0,15.625,0,102445,10633,2353,100,37.777778,?,-1
iris,3,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.035556,0.152345,8,32.317178,23.774438,1.954768,21.81967,1.584963,0.130318,1.454645,21.960177,1.464012,1385.53292,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.016,0.001,0.015625,0,15.625,0,97671,10633,2353,100,37.777778,?,-1
iris,3,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.028889,0.091918,6.5,19.498718,23.774438,1.121715,22.652722,1.584963,0.074781,1.510181,22.652722,1.510181,1429.22766,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.012,0,0.015625,0,15.625,0,101367,10633,2353,100,40,?,-1
iris,4,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.102667,0.283964,23.1,60.237862,23.774438,8.39436,15.380078,1.584963,0.559624,1.025339,18.910087,1.260672,1193.093684,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.904762,0.866667,0.861111,0.821012,0.946667,0.91746,0.861111,0.866667,0.019,0.001,0.015625,0,15.625,0,76243,10633,2353,93.333333,40,?,-1
iris,4,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.012889,0.037889,2.9,8.037413,23.774438,0.44392,23.330517,1.584963,0.029595,1.555368,23.330517,1.555368,1471.991762,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.018,0.001,0.015625,0,15.625,0,99761,10633,2353,100,37.777778,?,-1
iris,4,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.095556,0.270086,21.5,57.293979,23.774438,7.812762,15.961676,1.584963,0.520851,1.064112,19.1397,1.27598,1207.580637,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.973333,0.956508,0.866667,0.866667,0.014,0,0.015625,0,15.625,0,78509,10633,2353,93.333333,37.777778,?,-1
iris,4,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,13,2,0,86.666667,13.333333,0,0.8,0.049333,0.158479,11.1,33.618447,23.774438,2.25515,21.519287,1.584963,0.150343,1.434619,21.519287,1.434619,1357.715875,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.866667,0.066667,0.933333,0.133333,0.866667,0.866667,0.866667,0.8,0.986667,0.977778,0.866667,0.866667,0.014,0,0.015625,0,15.625,0,99563,10633,2353,100,37.777778,?,-1
iris,4,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.002222,0.006992,0.5,1.48324,23.774438,0.072942,23.701495,1.584963,0.004863,1.5801,23.701495,1.5801,1495.397841,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.013,0,0.015625,0,15.625,0,109342,10633,2353,100,33.333333,?,-1
iris,4,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.038667,0.146742,8.7,31.128765,23.774438,1.935448,21.838989,1.584963,0.12903,1.455933,21.869314,1.457954,1379.800079,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.026,0.001,0.03125,0,31.25,0,98034,10633,2353,100,37.777778,?,-1
iris,4,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.004444,0.013663,1,2.898275,23.774438,0.147394,23.627044,1.584963,0.009826,1.575136,23.627044,1.575136,1490.700484,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.016,0.001,0.015625,0,15.625,0,102434,10633,2353,100,33.333333,?,-1
iris,4,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.016444,0.0502,3.7,10.648944,23.774438,0.580579,23.193859,1.584963,0.038705,1.546257,23.193859,1.546257,1463.369563,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.021,0.001,0.015625,0,15.625,0,102071,10633,2353,100,37.777778,?,-1
iris,4,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,14,1,0,93.333333,6.666667,0,0.9,0.050222,0.209008,11.3,44.337343,23.774438,5.878321,17.896116,1.584963,0.391888,1.193074,21.399194,1.426613,1350.138795,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.933333,0.033333,0.966667,0.066667,0.944444,0.933333,0.93266,0.906276,1,1,0.93266,0.933333,0.02,0,0.03125,0,31.25,0,97506,10633,2353,93.333333,35.555556,?,-1
iris,4,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.001778,0.006667,0.4,1.414214,23.774438,0.058443,23.715995,1.584963,0.003896,1.581066,23.715995,1.581066,1496.312662,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.02,0.001,0.015625,0,15.625,0,99376,10633,2353,100,33.333333,?,-1
iris,5,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.010222,0.039384,2.3,8.354639,23.774438,0.360305,23.414133,1.584963,0.02402,1.560942,23.414133,1.560942,1477.2673,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.018,0,0.015625,0,15.625,0,104007,10633,2353,100,35.555556,?,-1
iris,5,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,12,3,0,80,20,0,0.7,0.116889,0.287356,26.3,60.957362,23.774438,7.059188,16.71525,1.584963,0.470613,1.11435,17.926856,1.195124,1131.058696,1,5,0,0,1,10,0,0,1,1,1,1,1,1,0.8,0.1,0.9,0.2,0.805556,0.8,0.79798,0.703451,0.96,0.935238,0.79798,0.8,0.018,0,0.015625,0,15.625,0,83426,10633,2353,100,42.222222,?,-1
iris,5,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20190328.0645,135,15,15,0,0,100,0,0,1,0.022222,0.084905,5,18.011108,23.774438,0.879622,22.894816,1.584963,0.058641,1.526321,22.894816,1.526321,1444.502061,1,5,0,0,1,10,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0.024,0,0.03125,0,31.25,0,100773,10633,2353,100,37.777778,?,-1
