@relation 'emotion-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 'CO2 0' numeric
@attribute 'm33.0335 0' numeric
@attribute 'm33.0335 4' numeric
@attribute 'm33.0335 5' numeric
@attribute 'm34.0372 4' numeric
@attribute 'm35.0385 4' numeric
@attribute 'm43.0178 0' numeric
@attribute 'm45.0335 0' numeric
@attribute 'm45.0335 2' numeric
@attribute 'm47.0491 0' numeric
@attribute 'm47.0491 2' numeric
@attribute 'm47.0491 3' numeric
@attribute 'm48.0071 5' numeric
@attribute 'm59.9293 0' numeric
@attribute 'm63.0263 2' numeric
@attribute 'm63.0457 1' numeric
@attribute 'm64.9278 6' numeric
@attribute 'm65.0603 3' numeric
@attribute 'm71.0157 8' numeric
@attribute 'm71.0855 1' numeric
@attribute 'm72.9853 3' numeric
@attribute 'm84.0920 6' numeric
@attribute 'm84.0920 7' numeric
@attribute 'm89.0271 0' numeric
@attribute 'm89.0271 2' numeric
@attribute 'm89.0271 3' numeric
@attribute 'm89.0597 2' numeric
@attribute 'm89.0597 3' numeric
@attribute 'm95.0158 0' numeric
@attribute 'm97.0296 3' numeric
@attribute 'm97.1012 1' numeric
@attribute 'm99.0440 4' numeric
@attribute 'm100.9380 9' numeric
@attribute 'm105.0342 0' numeric
@attribute 'm111.0800 0' numeric
@attribute 'm111.0800 1' numeric
@attribute 'm113.1425 2' numeric
@attribute 'm120.9533 0' numeric
@attribute 'm120.9533 1' numeric
@attribute 'm120.9533 2' numeric
@attribute 'm120.9533 3' numeric
@attribute 'm120.9533 6' numeric
@attribute 'm136.1310 1' numeric
@attribute 'm148.9709 6' numeric
@attribute 'm148.9709 7' numeric
@attribute 'm149.1000 8' numeric
@attribute 'm149.1000 9' numeric
@attribute 'm153.1274 0' numeric
@attribute target {0,1}

@data
760.249,95.7974,95.4984,93.3417,0.740725,0.592267,30.3882,65.5807,64.7416,55.9787,52.3215,54.1001,0.312831,0.075416,1.15191,0.23635,0.182532,0.482092,0.175472,3.40225,0.171036,0.412442,0.423557,0.312413,0.302391,0.237765,2.47416,2.28082,1.51256,1.93435,1.45237,0.385219,0.25899,0.281903,0.33356,0.282815,0.07816,0.248601,0.259446,0.357921,0.233583,0.191245,0.41145,0.466597,0.50187,0.161645,0.237682,0.213443,1
760.661,95.7535,93.3417,94.6885,0.907726,0.680281,30.5477,64.2204,63.853,53.7882,54.1001,55.0269,0.251425,0.199691,1.01074,0.430755,0.065105,0.459089,0.110526,3.26515,0.153836,0.423557,0.415722,0.24549,0.237765,0.317186,2.28082,2.39385,1.14951,1.8732,1.53347,0.465755,0.348694,0.278743,0.282815,0.279579,0.136461,0.259446,0.357921,0.233583,0.110616,0.210675,0.350031,0.50187,0.492565,0.237682,0.141769,0.266737,0
760.856,95.3388,94.6885,95.9901,1.2256,0.696456,31.7514,64.7416,62.8608,52.3215,55.0269,53.9696,0.46413,0.252762,1.03855,0.310396,0.073257,0.51536,0.177714,3.08839,0.115614,0.415722,0.40168,0.302391,0.317186,0.328094,2.39385,2.48714,1.25166,1.75535,1.75337,0.415042,0.263311,0.308156,0.279579,0.179884,0.136772,0.357921,0.233583,0.110616,0.194079,0.303195,0.346143,0.492565,0.373338,0.141769,0.079331,0.247048,0
761.337,95.1184,95.9901,93.9936,0.718627,0.573205,30.3044,63.853,64.2106,54.1001,53.9696,54.0299,0.290296,0.23095,1.18356,0.2472,0.158287,0.364861,0.19023,3.48789,0.172706,0.40168,0.405241,0.237765,0.328094,0.227271,2.48714,2.40625,1.31708,2.09543,1.49883,0.418292,0.181148,0.259044,0.179884,0.166249,0.192478,0.233583,0.110616,0.194079,0.191245,0.223912,0.26773,0.373338,0.44088,0.079331,0.129602,0.286569,0
761.858,95.4984,93.9936,94.1724,1.14115,0.53483,30.4489,62.8608,62.9194,55.0269,54.0299,53.9652,0.509626,0.131941,1.02347,0.359398,0.12111,0.440324,0.144638,3.34956,0.112598,0.405241,0.358762,0.317186,0.227271,0.199324,2.40625,2.54828,1.81165,2.00257,1.64375,0.303463,0.318266,0.346622,0.166249,0.410995,0.170041,0.110616,0.194079,0.191245,0.210675,0.243722,0.325927,0.44088,0.385143,0.129602,0.109977,0.186584,0
762.541,93.3417,94.1724,95.225,1.00804,0.751862,30.651,64.2106,63.46,53.9696,53.9652,54.4538,0.414325,0.223585,1.15077,0.334155,0.090635,0.451724,0.149034,3.30132,0.166943,0.358762,0.339068,0.328094,0.199324,0.21869,2.54828,2.51978,1.13638,1.94856,1.61408,0.369104,0.322566,0.021234,0.410995,0.24092,0.181646,0.194079,0.191245,0.210675,0.303195,0.24765,0.31997,0.385143,0.545269,0.109977,0.125474,0.233733,0
762.889,94.6885,95.225,94.6139,0.712158,0.632557,30.3439,62.9194,63.8704,54.0299,54.4538,56.0219,0.474582,0.16058,1.12717,0.306456,0.079185,0.390565,0.16749,3.43013,0.110879,0.339068,0.463191,0.227271,0.21869,0.289115,2.51978,2.49853,1.15802,1.99294,1.56327,0.358147,0.309207,0.276978,0.24092,0.243206,0.140232,0.191245,0.210675,0.303195,0.223912,0.206561,0.360851,0.545269,0.419352,0.125474,0.200098,0.299418,0
762.091,95.9901,94.6139,95.2912,0.731285,0.613309,30.0673,63.46,65.1496,53.9652,56.0219,54.7883,0.430657,0.30205,1.1286,0.226153,0.028781,0.425411,0.172843,3.17302,0.049365,0.463191,0.395318,0.199324,0.289115,0.202729,2.49853,2.59276,1.28416,1.89188,1.54705,0.326346,0.301887,0.326081,0.243206,0.431299,0.326266,0.210675,0.303195,0.223912,0.243722,0.199679,0.364407,0.419352,0.451268,0.200098,0.218201,0.344653,0
760.802,93.9936,95.2912,92.5307,0.788743,0.575555,32.0907,63.8704,62.5603,54.4538,54.7883,54.2259,0.491477,0.269861,0.968361,0.344541,0.08442,0.481418,0.134748,3.32321,0.25667,0.395318,0.528422,0.21869,0.202729,0.175363,2.59276,2.59496,1.37725,1.91455,1.56556,0.315186,0.242216,0.445011,0.431299,0.327733,0.154463,0.303195,0.223912,0.243722,0.24765,0.212943,0.301976,0.451268,0.484052,0.218201,0.202786,0.224553,0
759.853,94.1724,92.5307,95.6086,0.955925,0.809831,30.3782,65.1496,64.0698,56.0219,54.2259,53.9604,0.433195,0.179069,1.22594,0.431983,0.097013,0.546538,0.04014,3.27028,0.157677,0.528422,0.405811,0.289115,0.175363,0.19643,2.59496,2.39006,1.39096,1.88493,1.50905,0.366866,0.338077,0.385521,0.327733,0.305136,0.165814,0.223912,0.243722,0.24765,0.206561,0.200887,0.3458,0.484052,0.451411,0.202786,0.218341,0.256555,0
759.504,95.225,95.6086,94.4452,1.04008,0.605173,29.9391,62.5603,62.5839,54.7883,53.9604,54.3561,0.210434,0.144171,1.09793,0.413363,0.056377,0.544685,0.124771,3.24376,0.108252,0.405811,0.447505,0.202729,0.19643,0.324089,2.39006,2.61965,1.64287,1.88376,1.5465,0.365404,0.376188,0.302583,0.305136,0.312203,0.171152,0.243722,0.24765,0.206561,0.199679,0.217852,0.370195,0.451411,0.520246,0.218341,0.130416,0.264062,0
759.777,94.6139,94.4452,93.0303,1.30483,0.722085,30.713,64.0698,63.5284,54.2259,54.3561,52.4006,0.41293,0.250242,0.964737,0.379668,0.183087,0.4638,0.290933,3.35752,0.188125,0.447505,0.422867,0.175363,0.324089,0.303439,2.61965,2.57204,1.19849,2.00598,1.64812,0.306178,0.410758,0.211697,0.312203,0.345141,0.05945,0.24765,0.206561,0.199679,0.212943,0.178057,0.26949,0.520246,0.467411,0.130416,0.176724,0.254,0
759.698,95.2912,93.0303,93.4725,1.36101,0.709133,30.3303,62.5839,63.1159,53.9604,52.4006,52.7526,0.364543,0.236076,1.05538,0.338921,0.160877,0.346687,0.137093,3.23791,0.224565,0.422867,0.390476,0.19643,0.303439,0.206417,2.57204,2.50741,1.51778,1.7543,1.57684,0.293991,0.365932,0.254386,0.345141,0.283427,0.116472,0.206561,0.199679,0.212943,0.200887,0.062594,0.34961,0.467411,0.465331,0.176724,0.230241,0.233919,0
760.39,92.5307,93.4725,95.4054,0.948925,0.72505,30.4072,63.5284,63.0072,54.3561,52.7526,52.533,0.297444,0.270885,0.988321,0.474834,0.149139,0.428056,0.080967,3.01439,0.196272,0.390476,0.441789,0.324089,0.206417,0.29175,2.50741,2.53334,0.880275,1.89979,1.59438,0.379915,0.212014,0.341537,0.283427,0.267039,0.105888,0.199679,0.212943,0.200887,0.217852,0.285202,0.41858,0.465331,0.526243,0.230241,0.240225,0.259196,0
759.941,95.6086,95.4054,94.9622,1.04391,0.718224,31.699,63.1159,62.3242,52.4006,52.533,52.7679,0.28012,0.259549,0.922373,0.544048,0.137147,0.577031,0.089523,2.86368,0.160896,0.441789,0.348723,0.303439,0.29175,0.181068,2.53334,2.65682,1.39937,1.98736,1.65405,0.405911,0.293575,0.180254,0.267039,0.298756,0.137055,0.212943,0.200887,0.217852,0.178057,0.264295,0.344996,0.526243,0.482766,0.240225,0.168877,0.258043,0
