@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

emotion-weka.filters.unsupervised.attribute.ReplaceMissingValues,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,212,114,0,65.030675,34.969325,0,0.270407,0.34934,0.590773,77.110181,124.139171,303.512091,84402.869819,-84099.357727,0.931019,258.904509,-257.97349,59.495204,0.182501,6388.5417,0.666667,142,0.380531,43,0.619469,70,0.333333,71,0.767568,0.666667,0.713568,0.274856,0.631268,0.744119,0.650307,0.364171,0.635829,0.349693,0.673593,0.650307,0.65728,0.274856,0.65758,0.654577,0.632374,0.650307,0.332,0.415,0.328125,0.40625,328.125,406.25,602155,19137256,8313555,65.337423,50.153374,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,202,124,0,61.96319,38.03681,0,0.206408,0.380368,0.61674,83.958966,129.595685,303.512091,30325.525994,-30022.013902,0.931019,93.023086,-92.092067,37.90296,0.116267,4069.985815,0.643192,137,0.424779,48,0.575221,65,0.356808,76,0.740541,0.643192,0.688442,0.209804,0.622544,0.726684,0.619632,0.401218,0.598782,0.380368,0.643642,0.619632,0.627217,0.209804,0.643065,0.633822,0.600127,0.619632,0.309,0.389,0.296875,0.375,296.875,375,602215,19137316,8313615,61.96319,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,209,117,0,64.110429,35.889571,0,0.002511,0.358896,0.599079,79.219346,125.884607,303.512091,64353.878501,-64050.36641,0.931019,197.404535,-196.473517,52.897024,0.162261,5680.034973,0.957746,204,0.955752,108,0.044248,5,0.042254,9,0.653846,0.957746,0.777143,0.004681,0.500997,0.653826,0.641104,0.63911,0.36089,0.358896,0.551001,0.641104,0.535058,0.004681,0.59053,0.610177,0.427942,0.641104,0.31,0.322,0.3125,0.328125,312.5,328.125,602215,19137316,8313615,64.110429,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,214,112,0,65.644172,34.355828,0,0.057463,0.343558,0.586138,75.833904,123.165397,303.512091,65239.799847,-64936.287756,0.931019,200.122085,-199.191067,63.607069,0.195114,6830.070069,0.957746,204,0.911504,103,0.088496,10,0.042254,9,0.664495,0.957746,0.784615,0.093933,0.523121,0.664025,0.656442,0.6102,0.3898,0.343558,0.616599,0.656442,0.565167,0.093933,0.575376,0.597071,0.468065,0.656442,0.337,0.34,0.34375,0.328125,343.75,328.125,602215,19137316,8313615,65.644172,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,760,325,163,162,0,50.153846,49.846154,0,0.168982,0.498462,0.706018,109.980221,148.248591,302.898391,150572.651313,-150269.752923,0.931995,463.300466,-462.368471,-44.251138,-0.136157,-4753.771909,0.25,53,0.026549,3,0.973451,110,0.75,159,0.946429,0.25,0.395522,0.281786,0.688032,0.778365,0.501538,0.278087,0.721913,0.498462,0.759542,0.501538,0.458244,0.281786,0.661334,0.649541,0.485719,0.501538,0.306,0.409,0.296875,0.421875,296.875,421.875,602215,19162313,8288618,50.153846,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,760,325,198,127,0,60.923077,39.076923,0,0.18084,0.390769,0.625115,86.219062,131.260764,302.898391,32139.125504,-31836.227113,0.931995,98.889617,-97.957622,30.750304,0.094616,3303.416324,0.641509,136,0.451327,51,0.548673,62,0.358491,76,0.727273,0.641509,0.681704,0.183238,0.609513,0.720035,0.609231,0.419049,0.580951,0.390769,0.630615,0.609231,0.616449,0.183238,0.635936,0.628487,0.587864,0.609231,0.313,0.341,0.3125,0.34375,312.5,343.75,602215,19162313,8288618,60.923077,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,761,324,213,111,0,65.740741,34.259259,0,0.038087,0.342593,0.585314,75.648469,123.070648,301.371269,56159.418883,-55858.047614,0.930158,173.33154,-172.401382,63.694959,0.196589,6836.822636,0.976415,207,0.946429,106,0.053571,6,0.023585,5,0.661342,0.976415,0.788571,0.078747,0.514993,0.661176,0.657407,0.627421,0.372579,0.342593,0.621282,0.657407,0.549704,0.078747,0.577522,0.601793,0.443066,0.657407,0.32,0.436,0.3125,0.421875,312.5,421.875,602215,19187310,8263621,65.740741,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,761,324,193,131,0,59.567901,40.432099,0,0.268055,0.404323,0.635862,89.279222,133.699065,301.371269,36023.703596,-35722.332327,0.930158,111.18427,-110.254112,20.869557,0.064412,2240.074534,0.443396,94,0.116071,13,0.883929,99,0.556604,118,0.878505,0.443396,0.589342,0.331005,0.674276,0.798344,0.595679,0.268354,0.731646,0.404321,0.73253,0.595679,0.593656,0.331005,0.6771,0.683407,0.595583,0.595679,0.37,0.573,0.34375,0.421875,343.75,421.875,602215,19187310,8263621,59.567901,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,207,119,0,63.496933,36.503067,0,0.081538,0.365031,0.604178,80.573523,126.955985,303.512091,42727.45544,-42423.943348,0.931019,131.065814,-130.134796,48.613005,0.14912,5220.020934,0.859155,183,0.787611,89,0.212389,24,0.140845,30,0.672794,0.859155,0.754639,0.091585,0.621006,0.726043,0.634969,0.563425,0.436575,0.365031,0.593642,0.634969,0.592691,0.091585,0.63944,0.633253,0.521032,0.634969,1.079,0.404,0.515625,0.40625,515.625,406.25,602215,19137316,8313615,63.496933,50,?
'emotion-weka.filters.unsupervised.attribute.ReplaceMissingWithUserConstant-Afirst-last-Nmissing-R-999-Fyyyy-MM-dd\\\'T\\\'HH:mm:ss',9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20190415.084,759,326,205,121,0,62.883436,37.116564,0,0.230142,0.371166,0.609234,81.9277,128.018397,303.512091,33842.230605,-33538.718514,0.931019,103.810523,-102.879505,44.328987,0.135978,4760.006896,0.643192,137,0.39823,45,0.60177,68,0.356808,76,0.752747,0.643192,0.693671,0.234753,0.639349,0.737663,0.628834,0.383872,0.616128,0.371166,0.65551,0.628834,0.636655,0.234753,0.659014,0.645138,0.611427,0.628834,0.416,0.397,0.375,0.390625,375,390.625,602215,19137316,8313615,62.883436,50,?
